filepath,inferred_plane,gemini_blocked
archive_v2/Testing\glioma\glioma_TT_0001.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0006.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0020.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0021.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0022.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0028.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0031.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0036.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0037.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0038.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0043.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0046.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0049.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0056.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0060.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0068.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0073.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0074.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0078.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0082.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0089.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0092.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0095.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0113.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0115.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0117.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0120.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0136.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0140.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0143.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0145.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0146.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0147.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0149.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0156.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0166.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0171.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0175.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0183.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0191.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0194.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0198.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0200.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0202.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0205.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0219.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0229.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0248.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0253.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0258.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0260.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0262.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0267.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0269.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0276.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0297.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0305.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0310.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0320.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0322.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0325.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0326.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0339.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0343.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0345.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0347.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0352.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0353.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0356.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0358.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0362.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0364.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0365.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0367.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0372.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0378.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0381.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0385.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0386.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0393.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0400.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0401.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0405.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0411.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0426.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0427.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0430.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0431.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0435.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0438.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0446.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0452.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0454.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0456.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0458.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0464.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0479.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0499.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0504.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0506.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0521.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0528.jpg,unknown,True
