epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1352.89,1.02301,2.36192,1.21026,0.73089,0.65478,0.72188,0.48268,1.11481,2.29444,1.433,0.000415264,0.000415264,0.000415264
2,2751.84,1.0422,1.38507,1.2107,0.81149,0.68201,0.79145,0.54106,1.07991,1.43724,1.35781,0.000804477,0.000804477,0.000804477
3,3681.62,1.06079,1.17071,1.2242,0.7199,0.65827,0.76409,0.5351,1.05404,1.55394,1.31519,0.00116619,0.00116619,0.00116619
4,4569.21,1.02947,1.01686,1.20206,0.83823,0.74857,0.83647,0.60619,1.00719,1.10594,1.29196,0.00112625,0.00112625,0.00112625
5,5458.94,0.98961,0.906,1.1805,0.86629,0.7468,0.86473,0.63458,0.9257,0.96712,1.24397,0.001085,0.001085,0.001085
6,6353.11,0.96437,0.8386,1.15983,0.798,0.77498,0.86543,0.62672,0.99594,0.91286,1.29649,0.00104375,0.00104375,0.00104375
7,999.49,0.93608,0.8026,1.141,0.87668,0.88678,0.92789,0.69482,0.88595,0.67348,1.21,0.0010025,0.0010025,0.0010025
8,1963.99,0.90952,0.75781,1.1313,0.88118,0.83492,0.92523,0.70443,0.85382,0.70289,1.18745,0.00096125,0.00096125,0.00096125
9,2914.69,0.91297,0.74048,1.13372,0.92093,0.8607,0.93678,0.71618,0.86105,0.61279,1.18084,0.00092,0.00092,0.00092
10,3865.63,0.89366,0.70481,1.12165,0.88102,0.87232,0.93487,0.71742,0.82904,0.62615,1.16076,0.00087875,0.00087875,0.00087875
11,4810.43,0.86069,0.6629,1.1084,0.86812,0.86925,0.9256,0.69327,0.85956,0.68958,1.23263,0.0008375,0.0008375,0.0008375
12,5757.65,0.84876,0.64194,1.0948,0.93574,0.89302,0.95093,0.71025,0.87614,0.56297,1.20903,0.00079625,0.00079625,0.00079625
13,6702.07,0.87417,0.65029,1.11916,0.90953,0.90934,0.94095,0.7292,0.84617,0.5729,1.17209,0.000755,0.000755,0.000755
14,7646.49,0.86975,0.64497,1.10985,0.92893,0.91368,0.95347,0.73299,0.84083,0.54793,1.17125,0.00071375,0.00071375,0.00071375
15,8589.01,0.85461,0.62004,1.10119,0.91722,0.8744,0.94184,0.72813,0.81035,0.57598,1.15797,0.0006725,0.0006725,0.0006725
16,9531.02,0.84235,0.6006,1.0951,0.92767,0.90367,0.95429,0.74164,0.82723,0.50693,1.14927,0.00063125,0.00063125,0.00063125
17,10472,0.83067,0.57434,1.08673,0.91997,0.92644,0.95912,0.74618,0.79773,0.5055,1.14338,0.00059,0.00059,0.00059
18,11412.8,0.82774,0.5738,1.08765,0.95045,0.91667,0.96152,0.75069,0.81037,0.47264,1.15283,0.00054875,0.00054875,0.00054875
19,12353.9,0.81218,0.5538,1.07508,0.93452,0.91795,0.95271,0.73296,0.80907,0.48146,1.15333,0.0005075,0.0005075,0.0005075
20,13304.2,0.80085,0.53572,1.06745,0.94654,0.90188,0.9581,0.75285,0.79465,0.48777,1.13116,0.00046625,0.00046625,0.00046625
21,14265.8,0.75466,0.47678,1.04399,0.94275,0.91137,0.95483,0.7555,0.78642,0.48828,1.12033,0.000425,0.000425,0.000425
22,15227.2,0.74571,0.45892,1.0393,0.93147,0.93873,0.96567,0.76973,0.76772,0.44566,1.11081,0.00038375,0.00038375,0.00038375
23,16190.3,0.72742,0.44471,1.02332,0.96944,0.90873,0.96361,0.7591,0.77169,0.43711,1.13808,0.0003425,0.0003425,0.0003425
24,17158.6,0.70795,0.42604,1.01381,0.94559,0.93195,0.96607,0.76349,0.77636,0.43728,1.12948,0.00030125,0.00030125,0.00030125
25,18136.1,0.70836,0.40911,1.01413,0.94807,0.92665,0.96221,0.77032,0.76002,0.4304,1.11117,0.00026,0.00026,0.00026
26,19108.2,0.69291,0.39809,1.00233,0.96499,0.92078,0.96013,0.76839,0.75651,0.41472,1.11742,0.00021875,0.00021875,0.00021875
27,20083,0.69029,0.39013,1.00626,0.96268,0.91632,0.96253,0.76811,0.75971,0.41475,1.10975,0.0001775,0.0001775,0.0001775
28,21053.7,0.67624,0.3876,0.99783,0.95393,0.92949,0.96488,0.77067,0.74662,0.39409,1.11031,0.00013625,0.00013625,0.00013625
29,21981.2,0.6653,0.36682,0.99258,0.96191,0.92102,0.96403,0.77369,0.74755,0.39612,1.10918,9.5e-05,9.5e-05,9.5e-05
30,22906.2,0.65786,0.3613,0.98282,0.92993,0.95156,0.96084,0.7706,0.74582,0.39172,1.11157,5.375e-05,5.375e-05,5.375e-05
